# time (s)	h_+ (strain)	h_x (strain)
-0.167663575	-2.714034523148687689e-22	-2.993249265779774026e-22
-0.167602539	-2.680426483931291792e-22	-3.033278887891682761e-22
-0.167541504	-2.646232558651738343e-22	-3.072937420623978539e-22
-0.167480469	-2.611457235984430018e-22	-3.112215850374150733e-22
-0.167419434	-2.576105182677178080e-22	-3.151105253214838790e-22
-0.167358399	-2.540181239264082326e-22	-3.189596800991326430e-22
-0.167297364	-2.503690416319597340e-22	-3.227681764768956247e-22
-0.167236329	-2.466637889416447904e-22	-3.265351523576851659e-22
-0.167175293	-2.429028995764881243e-22	-3.302597567373849019e-22
-0.167114258	-2.390869228336654761e-22	-3.339411504367031409e-22
-0.167053223	-2.352164231261100515e-22	-3.375785063303585267e-22
-0.166992188	-2.312919793689112409e-22	-3.411710100369481451e-22
-0.166931153	-2.273141845074617831e-22	-3.447178602074518298e-22
-0.166870118	-2.232836448567674976e-22	-3.482182689265959626e-22
-0.166809082	-2.192009794673348509e-22	-3.516714620106022424e-22
-0.166748047	-2.150668196495625564e-22	-3.550766795337369329e-22
-0.166687012	-2.108818081460731810e-22	-3.584331758949480378e-22
-0.166625977	-2.066465985683786360e-22	-3.617402201317918822e-22
-0.166564942	-2.023618547907900240e-22	-3.649970960687297184e-22
-0.166503907	-1.980282500999269754e-22	-3.682031026133357508e-22
-0.166442871	-1.936464667448204132e-22	-3.713575537913490616e-22
-0.166381836	-1.892171950939330165e-22	-3.744597786985253617e-22
-0.166320801	-1.847411329588689203e-22	-3.775091218765785158e-22
-0.166259766	-1.802189850311355036e-22	-3.805049428771500036e-22
-0.166198731	-1.756514620744565189e-22	-3.834466166631727194e-22
-0.166137696	-1.710392803747746480e-22	-3.863335330307068034e-22
-0.166076661	-1.663831610057018216e-22	-3.891650971678445112e-22
-0.166015625	-1.616838291754845233e-22	-3.919407285854339089e-22
-0.165954590	-1.569420136899100762e-22	-3.946598618312136964e-22
-0.165893555	-1.521584462817459847e-22	-3.973219455553519983e-22
-0.165832520	-1.473338609839460340e-22	-3.999264426575874120e-22
-0.165771485	-1.424689936380325976e-22	-4.024728296948129561e-22
-0.165710450	-1.375645813591936698e-22	-4.049605967397128133e-22
-0.165649414	-1.326213619368371699e-22	-4.073892469466577204e-22
-0.165588379	-1.276400734349845531e-22	-4.097582959473481519e-22
-0.165527344	-1.226214536976920010e-22	-4.120672717861030738e-22
-0.165466309	-1.175662399476358397e-22	-4.143157140100506382e-22
-0.165405274	-1.124751684427203589e-22	-4.165031736698985548e-22
-0.165344239	-1.073489740090856922e-22	-4.186292122514281581e-22
-0.165283204	-1.021883898862051207e-22	-4.206934016758795931e-22
-0.165222168	-9.699414737059894240e-23	-4.226953233435350053e-22
-0.165161133	-9.176697561256723624e-23	-4.246345678178660295e-22
-0.165100098	-8.650760142655798527e-23	-4.265107340963767129e-22
-0.165039063	-8.121674914408621408e-23	-4.283234291225728674e-22
-0.164978028	-7.589514061768214523e-23	-4.300722671407755379e-22
-0.164916993	-7.054349499964999687e-23	-4.317568690821345365e-22
